Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
4545 42nd Ave Sw,Illegal Burn,05/20/2020 08:48:00 PM,47.562472,-122.385455,POINT (-122.385455 47.562472),F200048115
1238 S KING ST,Aid Response,03/23/2022 11:23:00 AM,47.598337,-122.316495,POINT (-122.316495 47.598337),F220033866
800 Jefferson St,Aid Response,01/21/2022 01:46:00 PM,47.604377,-122.325207,POINT (-122.325207 47.604377),F220009062
2702 Beacon Ave S,Rescue Elevator,01/21/2022 01:47:00 PM,47.579351,-122.312266,POINT (-122.312266 47.579351),F220009063
2518 Sw Genesee St,Aid Response,08/15/2019 10:50:00 PM,47.564727,-122.364556,POINT (-122.364556 47.564727),F190087260
2720 E Madison St,Medic Response,01/21/2022 01:49:00 PM,47.623153,-122.296667,POINT (-122.296667 47.623153),F220009064
Dexter Ave N / Nickerson St,Illegal Burn,01/21/2022 01:49:00 PM,47.646147,-122.349741,POINT (-122.349741 47.646147),F220009065
7101 62nd Av Ne,Medic Response,08/15/2019 10:55:00 PM,47.679973,-122.262231,POINT (-122.262231 47.679973),F190087261
9000 Aurora Av N,Aid Response,11/11/2020 09:21:00 AM,47.694186,-122.344565,POINT (-122.344565 47.694186),F200111520
700 5th Av N,Auto Fire Alarm,08/15/2019 11:00:00 PM,47.625423,-122.347565,POINT (-122.347565 47.625423),F190087262
10041 39th Av Sw,Automatic Medical Alarm,08/15/2019 11:03:00 PM,47.513395,-122.381823,POINT (-122.381823 47.513395),F190087263
5606 1st Av S,Bark Fire,08/15/2020 05:00:00 PM,47.552662,-122.334215,POINT (-122.334215 47.552662),F200080651
3233 Sw Avalon Way,Aid Response,04/25/2019 05:30:11 PM,47.564417,-122.372777,POINT (-122.372777 47.564417),F190041500
1200 University St,Aid Response,04/25/2019 05:28:56 PM,47.611943,-122.325987,POINT (-122.325987 47.611943),F190041498
1050 James St,Rescue Elevator,04/25/2019 05:25:54 PM,47.606255,-122.323074,POINT (-122.323074 47.606255),F190041497
901 Boren Av,Aid Response,04/25/2019 05:22:37 PM,47.608624,-122.324487,POINT (-122.324487 47.608624),F190041496
601 Queen Anne Av N,Aid Response,10/20/2019 05:55:00 PM,47.624583,-122.356709,POINT (-122.356709 47.624583),F190112132
255 S King St,Aid Response,06/18/2022 08:15:00 PM,47.598287,-122.330894,POINT (-122.330894 47.598287),F220070863
1301 Alaskan Way,Aid Response,06/18/2022 08:19:00 PM,47.605911,-122.340413,POINT (-122.340413 47.605911),F220070864
500 5th Ave,Aid Response,06/18/2022 08:20:00 PM,47.602985,-122.328535,POINT (-122.328535 47.602985),F220070865
105 5th Ave S,Triaged Incident,03/22/2021 06:24:00 AM,47.601643,-122.327656,POINT (-122.327656 47.601643),F210027509
10438 57th Ave S,Aid Response Yellow,03/17/2020 07:31:00 AM,47.507819,-122.261264,POINT (-122.261264 47.507819),F200027235
705 2nd Av,Auto Fire Alarm,03/17/2020 07:32:00 AM,47.603048,-122.333199,POINT (-122.333199 47.603048),F200027237
4831 35th Av Sw,Medic Response,03/17/2020 07:33:00 AM,47.558988,-122.376234,POINT (-122.376234 47.558988),F200027239
1000 John St,Brush Fire,07/05/2020 09:43:00 PM,47.6197,-122.33717,POINT (-122.33717 47.6197),F200065908
116 Stewart St,Low Acuity Response,03/22/2021 06:09:00 AM,47.610387,-122.341198,POINT (-122.341198 47.610387),F210027505
1200 Boylston Av,Medic Response,11/11/2020 08:53:00 AM,47.612158,-122.323113,POINT (-122.323113 47.612158),F200111510
13TH AVE / E PINE ST,Scenes Of Violence 7,08/15/2020 04:32:00 PM,47.615273,-122.315549,POINT (-122.315549 47.615273),F200080640
4202 6th Ave S,Triaged Incident,09/21/2021 08:32:00 PM,47.566489,-122.32673,POINT (-122.32673 47.566489),F210104667
909 Boren Ave,Triaged Incident,05/21/2022 12:03:00 PM,47.608682,-122.32454,POINT (-122.32454 47.608682),F220058202
2119 3rd Ave,Trans to AMR,05/29/2021 06:50:00 PM,47.613308,-122.342432,POINT (-122.342432 47.613308),F210053797
1519 12th Ave,Aid Response,05/29/2021 06:52:00 PM,47.614317,-122.316839,POINT (-122.316839 47.614317),F210053799
110 Aloha St,Aid Response,09/25/2020 02:55:00 PM,47.627187,-122.35511,POINT (-122.35511 47.627187),F200095870
7135 Sportsfield Dr Ne,Aid Response,09/25/2020 02:57:00 PM,47.680484,-122.260996,POINT (-122.260996 47.680484),F200095871
515 Minor Av,Medic Response,09/25/2020 03:00:00 PM,47.606467,-122.32091,POINT (-122.32091 47.606467),F200095872
4th Ave / University St,Dumpster Fire,05/29/2021 06:54:00 PM,47.608228,-122.334866,POINT (-122.334866 47.608228),F210053800
2720 1st Ave S,Encampment Aid,10/20/2021 02:11:00 PM,47.579599,-122.334201,POINT (-122.334201 47.579599),F210116125
1100 Olive Way,AFA4 - Auto Alarm 2 + 1 + 1,10/20/2021 02:13:00 PM,47.61545,-122.33073,POINT (-122.33073 47.61545),F210116126
11749 Greenwood Ave N,Aid Response,10/20/2021 02:14:00 PM,47.714451,-122.355517,POINT (-122.355517 47.714451),F210116127
800 Occidental Av S,Aid Response,10/20/2019 06:12:00 PM,47.595693,-122.333273,POINT (-122.333273 47.595693),F190112140
1315 N 80th St,Electrical Problem,10/20/2019 06:14:00 PM,47.686933,-122.341599,POINT (-122.341599 47.686933),F190112141
East Green Lake Way N / N 64th St,Aid Response,08/07/2022 09:32:00 PM,47.675265,-122.333533,POINT (-122.333533 47.675265),F220094458
725 9th Ave,Alarm Bell,08/07/2022 09:34:00 PM,47.606444,-122.325563,POINT (-122.325563 47.606444),F220094459
2021 7th Av,Auto Fire Alarm,08/15/2019 11:30:00 PM,47.615345,-122.337941,POINT (-122.337941 47.615345),F190087271
3553 S Hudson St,Aid Response,12/24/2005 05:11:01 PM,47.55705,-122.288098,POINT (-122.288098 47.55705),F050121293
E John St / 23rd Av E,Motor Vehicle Accident,12/24/2005 05:15:45 PM,47.620207,-122.3025,POINT (-122.3025 47.620207),F050121294
11030 Greenwood Av N,Aid Response,12/24/2005 05:23:51 PM,47.70898,-122.355483,POINT (-122.355483 47.70898),F050121297
6727 Rainier Av S,Medic Response,12/24/2005 05:24:16 PM,47.542233,-122.272638,POINT (-122.272638 47.542233),F050121298
4th Av S / S Royal Brougham Way,Aid Response,12/24/2005 05:25:20 PM,47.592394,-122.329049,POINT (-122.329049 47.592394),F050121300
Eb I90 Fr 1,Aid Response,12/24/2005 05:26:50 PM,47.590318,-122.329004,POINT (-122.329004 47.590318),F050121301
3820 Rainier Av S,Aid Response,12/24/2005 05:28:46 PM,47.569732,-122.290646,POINT (-122.290646 47.569732),F050121302
1026 Ne 64th St,Aid Response,12/24/2005 05:30:17 PM,47.674979,-122.317139,POINT (-122.317139 47.674979),F050121305
9200 Rainier Av S,Aid Response,12/24/2005 05:44:24 PM,47.520534,-122.269983,POINT (-122.269983 47.520534),F050121308
3015 S Willow St,Aid Response,12/24/2005 05:46:46 PM,47.540719,-122.292618,POINT (-122.292618 47.540719),F050121309
8427 1st Av S,Medic Response,12/24/2005 05:54:09 PM,47.527558,-122.335069,POINT (-122.335069 47.527558),F050121310
751 N 135th St,Aid Response Yellow,12/24/2005 05:59:17 PM,47.726864,-122.348004,POINT (-122.348004 47.726864),F050121311
1010 Spring St,Rescue Elevator,04/25/2019 05:16:19 PM,47.609634,-122.326789,POINT (-122.326789 47.609634),F190041495
California Av Sw / Sw Massachusetts St,Aid Response,08/15/2019 11:32:00 PM,47.588046,-122.386276,POINT (-122.386276 47.588046),F190087273
15th Ave E / E Roy St,Triaged Incident,01/14/2020 07:44:00 PM,47.62526,-122.31259,POINT (-122.31259 47.62526),F200004939
523 N 143rd St,Aid Response,01/14/2020 07:58:00 PM,47.732314,-122.352726,POINT (-122.352726 47.732314),F200004944
105 5th Av S,Automatic Medical Alarm,05/22/2019 01:09:00 PM,47.601643,-122.327656,POINT (-122.327656 47.601643),F190051953
4502 S Othello St,Low Acuity Response,09/21/2021 04:45:00 PM,47.53706,-122.27666,POINT (-122.27666 47.53706),F210104571
2003 Nw 57th St,AFA4 - Auto Alarm 2 + 1 + 1,05/21/2022 08:14:00 AM,47.67018,-122.38216,POINT (-122.38216 47.67018),F220058105
715 Spring St,Aid Response,12/23/2021 07:21:00 PM,47.608268,-122.330056,POINT (-122.330056 47.608268),F210142000
10256 31st Ave Sw,Aid Response,12/23/2021 07:22:00 PM,47.511033,-122.371656,POINT (-122.371656 47.511033),F210142001
4719 12th Av Ne,Aid Response,03/17/2020 08:38:00 AM,47.663215,-122.315262,POINT (-122.315262 47.663215),F200027257
2916 Beacon Ave S,Medic Response- 7 per Rule,12/23/2021 07:23:00 PM,47.577655,-122.310701,POINT (-122.310701 47.577655),F210142002
10814 55th Ave S,Aid Response,12/23/2021 07:25:00 PM,47.503581,-122.264837,POINT (-122.264837 47.503581),F210142003
12th Av Nw / Holman Rd Nw,Aid Response,10/20/2019 06:21:00 PM,47.696987,-122.371408,POINT (-122.371408 47.696987),F190112145
Stone Way N / N 45th St,Medic Response- 6 per Rule,10/20/2019 06:22:00 PM,47.661385,-122.342145,POINT (-122.342145 47.661385),F190112146
1050 James St,Aid Response,03/22/2021 06:12:00 AM,47.606255,-122.323074,POINT (-122.323074 47.606255),F210027506
1102 E Spruce St,Medic Response,08/15/2019 08:05:00 PM,47.603517,-122.318076,POINT (-122.318076 47.603517),F190087210
10TH AV E / E REPUBLICAN ST,Aid Response,08/15/2019 08:06:00 PM,47.623125,-122.319907,POINT (-122.319907 47.623125),F190087211
9726 45th Av Ne,Medic Response,04/23/2019 11:39:00 PM,47.699497,-122.280035,POINT (-122.280035 47.699497),F190040681
4337 2nd Av Ne,Aid Response Yellow,04/23/2019 11:54:00 PM,47.659427,-122.327278,POINT (-122.327278 47.659427),F190040682
1732 16th Av,Medic Response,04/24/2019 12:02:00 AM,47.616815,-122.311453,POINT (-122.311453 47.616815),F190040684
2720 3rd Av,Auto Fire Alarm,04/24/2019 12:03:00 AM,47.617238,-122.349079,POINT (-122.349079 47.617238),F190040685
5016 Rainier Av S,Aid Response,04/24/2019 12:07:00 AM,47.556846,-122.284497,POINT (-122.284497 47.556846),F190040686
400 Broadway  E,Aid Response,04/24/2019 12:29:00 AM,47.621988,-122.320906,POINT (-122.320906 47.621988),F190040689
3017 21st Av W,Aid Response,04/24/2019 12:41:00 AM,47.646734,-122.383349,POINT (-122.383349 47.646734),F190040690
12740 33rd Av Ne,Trans to AMR,04/24/2019 12:44:00 AM,47.720938,-122.292513,POINT (-122.292513 47.720938),F190040691
223 Yesler Way,Aid Response,04/24/2019 01:35:00 AM,47.601718,-122.331581,POINT (-122.331581 47.601718),F190040704
5931 21st Av Sw,Aid Response,04/24/2019 02:08:00 AM,47.549879,-122.359868,POINT (-122.359868 47.549879),F190040709
1414 S King St,Trans to AMR,04/24/2019 03:14:00 AM,47.598331,-122.313278,POINT (-122.313278 47.598331),F190040713
2614 4th Av,Aid Response,04/24/2019 04:14:00 AM,47.617316,-122.347229,POINT (-122.347229 47.617316),F190040727
500 Mercer St,Trans to AMR,04/24/2019 04:17:00 AM,47.624561,-122.347571,POINT (-122.347571 47.624561),F190040728
2418 Nw 56th St,Aid Response,08/15/2019 08:09:00 PM,47.669458,-122.387807,POINT (-122.387807 47.669458),F190087212
2150 N 107th St,Aid Response,01/14/2020 03:18:00 PM,47.70684,-122.332461,POINT (-122.332461 47.70684),F200004870
1112 Ne Pacific St,AFA4 - Auto Alarm 2 + 1 + 1,07/01/2019 07:58:00 AM,47.653622,-122.316355,POINT (-122.316355 47.653622),F190068850
107 Pike St,Aid Response,07/01/2019 07:58:00 AM,47.608854,-122.339934,POINT (-122.339934 47.608854),F190068851
118 Bell St,Aid Response,09/25/2020 02:14:00 PM,47.613497,-122.346355,POINT (-122.346355 47.613497),F200095856
207 Pontius Av N,Aid Response Yellow,01/14/2020 12:10:00 PM,47.619736,-122.331697,POINT (-122.331697 47.619736),F200004805
2024 3rd Av,Aid Response,03/17/2020 07:36:00 AM,47.612578,-122.341197,POINT (-122.341197 47.612578),F200027240
5946 18th Ave Sw,Aid Response,09/25/2020 02:14:00 PM,47.549311,-122.357098,POINT (-122.357098 47.549311),F200095858
24th Av S / S Hill St,Illegal Burn,08/15/2019 11:08:00 PM,47.584503,-122.301632,POINT (-122.301632 47.584503),F190087265
22nd Av Nw / Nw 57th St,Trans to AMR,10/20/2019 06:30:00 PM,47.670183,-122.384743,POINT (-122.384743 47.670183),F190112148
1711 23rd Av S,Auto Fire Alarm,10/20/2019 06:30:00 PM,47.58821,-122.302596,POINT (-122.302596 47.58821),F190112147
1867 E Hamlin St,Aid Response,03/22/2021 06:15:00 AM,47.645565,-122.306887,POINT (-122.306887 47.645565),F210027507
WARREN AVE N / MCGRAW PL,Scenes Of Violence 7,08/15/2020 05:15:00 PM,47.641206,-122.354462,POINT (-122.354462 47.641206),F200080653
15 W Mcgraw St,Aid Response,08/15/2020 05:18:00 PM,47.639596,-122.357103,POINT (-122.357103 47.639596),F200080655
1030 Ne 125th St,Trans to AMR,04/23/2021 06:27:00 AM,47.719503,-122.31736,POINT (-122.31736 47.719503),F210039806
13709 41st Ave Ne,Automatic Fire Alarm Resd,04/23/2021 06:28:00 AM,47.728409,-122.284738,POINT (-122.284738 47.728409),F210039808
719 S Monroe St,Aid Response,01/14/2020 12:17:00 PM,47.531254,-122.324981,POINT (-122.324981 47.531254),F200004807
4700 38th Av Sw,Aid Response,04/25/2019 05:29:52 PM,47.561082,-122.380063,POINT (-122.380063 47.561082),F190041499
3651 34th Av S,Aid Response,01/14/2020 12:17:00 PM,47.571115,-122.28993,POINT (-122.28993 47.571115),F200004808
4021 13th Av S,Aid Response,12/24/2005 06:06:24 PM,47.56792,-122.315982,POINT (-122.315982 47.56792),F050121313
517 3rd Av,"Medic Response, 7 per Rule",12/24/2005 06:11:18 PM,47.602172,-122.330863,POINT (-122.330863 47.602172),F050121314
1115 Nw Market St,Medic Response,12/24/2005 06:17:52 PM,47.668662,-122.370893,POINT (-122.370893 47.668662),F050121315
527 Eastlake Av E,Aid Response,12/24/2005 06:32:15 PM,47.623433,-122.329158,POINT (-122.329158 47.623433),F050121316
614 1st Av,Trans to AMR,12/24/2005 06:51:45 PM,47.601839,-122.334179,POINT (-122.334179 47.601839),F050121318
1911 13th Av W,Automatic Fire Alarm Resd,12/24/2005 06:52:17 PM,47.636265,-122.373872,POINT (-122.373872 47.636265),F050121319
745 Broadway E,Medic Response,12/24/2005 06:55:41 PM,47.625499,-122.321323,POINT (-122.321323 47.625499),F050121320
12709 42nd Av Ne,Medic Response,12/24/2005 07:01:55 PM,47.720852,-122.282974,POINT (-122.282974 47.720852),F050121321
Rainier Av S / S Hanford St,Aid Response,12/24/2005 07:04:35 PM,47.574966,-122.295568,POINT (-122.295568 47.574966),F050121322
1711 E Olive Way,Medic Response,12/24/2005 07:13:28 PM,47.619874,-122.323003,POINT (-122.323003 47.619874),F050121323
3rd Av / Pine St,Aid Response,12/24/2005 07:16:39 PM,47.610743,-122.338702,POINT (-122.338702 47.610743),F050121326
8235 Northrop Pl Sw,Medic Response,12/24/2005 07:20:45 PM,47.530149,-122.3885,POINT (-122.3885 47.530149),F050121327
10507 Aurora Av N,Aid Response,04/24/2019 12:49:00 AM,47.705096,-122.344695,POINT (-122.344695 47.705096),F190040692
4746 11th Av Ne,1RED 1 Unit,04/24/2019 01:13:00 AM,47.663386,-122.316355,POINT (-122.316355 47.663386),F190040694
4703 S Dawson St,Aid Response,08/23/2021 01:21:00 PM,47.555206,-122.274364,POINT (-122.274364 47.555206),F210092217
1000 12th Ave S,Aid Response,08/23/2021 01:22:00 PM,47.59326,-122.317281,POINT (-122.317281 47.59326),F210092220
S Dearborn St / Maynard Ave S,1RED 1 Unit,05/20/2020 07:52:00 PM,47.595835,-122.325068,POINT (-122.325068 47.595835),F200048102
5020 California Av Sw,Aid Response Yellow,10/20/2019 06:36:00 PM,47.557285,-122.386889,POINT (-122.386889 47.557285),F190112149
4019 45th Av Sw,Automatic Fire Alarm Resd,08/15/2019 08:13:00 PM,47.568078,-122.389443,POINT (-122.389443 47.568078),F190087214
10216 Rainier Av S,Water Rescue Recon Response,08/15/2019 08:18:00 PM,47.511015,-122.243365,POINT (-122.243365 47.511015),F190087215
5830 Ann Arbor Av Ne,Trans to AMR,08/15/2019 08:09:00 PM,47.672208,-122.275525,POINT (-122.275525 47.672208),F190087213
410 2nd Av Et S,Medic Response,11/11/2020 08:57:00 AM,47.601202,-122.331511,POINT (-122.331511 47.601202),F200111511
38TH AVE S / S MYRTLE ST,Aid Response,04/22/2022 09:08:00 PM,47.538881,-122.284744,POINT (-122.284744 47.538881),F220046397
12740 33rd Ave Ne,Auto Fire Alarm,04/22/2022 09:08:00 PM,47.720938,-122.292513,POINT (-122.292513 47.720938),F220046395
2012 43rd Ave E,2RED - 1 + 1,07/26/2021 02:32:00 PM,47.637027,-122.277113,POINT (-122.277113 47.637027),F210079505
2425 Westview Dr W,Aid Response,05/29/2021 06:55:00 PM,47.639813,-122.371036,POINT (-122.371036 47.639813),F210053801
2030 3rd Ave,Trans to AMR,05/29/2021 06:56:00 PM,47.612626,-122.341277,POINT (-122.341277 47.612626),F210053802
5937 36th Av S,Medic Response,04/24/2019 05:47:00 AM,47.548704,-122.288076,POINT (-122.288076 47.548704),F190040744
1501 17th Ave,Trans to AMR,07/26/2021 02:34:00 PM,47.614106,-122.310161,POINT (-122.310161 47.614106),F210079506
204 Ne 94th St,Auto Fire Alarm,01/14/2020 02:58:00 PM,47.69681,-122.327101,POINT (-122.327101 47.69681),F200004865
6450 24th Av Nw,Rescue Elevator,10/20/2019 08:12:00 PM,47.675618,-122.387584,POINT (-122.387584 47.675618),F190112183
13000 Lake City Way Ne,Aid Response,04/24/2019 06:02:00 AM,47.722899,-122.293194,POINT (-122.293194 47.722899),F190040745
1011 S Weller St,1RED 1 Unit,04/24/2019 06:02:00 AM,47.597509,-122.319511,POINT (-122.319511 47.597509),F190040746
308 4th Av S,Aid Response,04/24/2019 06:03:00 AM,47.599968,-122.328965,POINT (-122.328965 47.599968),F190040748
11301 3rd Av Ne,Automatic Medical Alarm,04/24/2019 06:08:00 AM,47.71049,-122.326004,POINT (-122.326004 47.71049),F190040754
Sb I5 To Northgate,MVI Freeway,04/24/2019 06:09:00 AM,47.713612,-122.327503,POINT (-122.327503 47.713612),F190040755
3216 Morse Av S,Aid Response,04/24/2019 06:24:00 AM,47.574911,-122.29867,POINT (-122.29867 47.574911),F190040758
S Dearborn St / Corwin Pl S,Aid Response,04/24/2019 06:34:00 AM,47.595817,-122.314084,POINT (-122.314084 47.595817),F190040760
3rd Av S / S Main St,Aid Response,04/24/2019 06:36:00 AM,47.599991,-122.330342,POINT (-122.330342 47.599991),F190040761
909 4th Av,Trans to AMR,04/24/2019 06:47:00 AM,47.605432,-122.33231,POINT (-122.33231 47.605432),F190040762
3412 S Dearborn St,Aid Response,04/24/2019 06:56:00 AM,47.595747,-122.288882,POINT (-122.288882 47.595747),F190040764
6th Av S / S Forest St,Aid Response,04/24/2019 06:55:00 AM,47.577725,-122.325978,POINT (-122.325978 47.577725),F190040765
3051 Alki Av Sw,Aid Response,04/24/2019 06:56:00 AM,47.577281,-122.417187,POINT (-122.417187 47.577281),F190040767
919 Stewart St,Aid Response,04/24/2019 06:59:00 AM,47.615745,-122.334269,POINT (-122.334269 47.615745),F190040768
302 N 78th St,Trans to AMR,04/24/2019 07:02:00 AM,47.685486,-122.35527,POINT (-122.35527 47.685486),F190040770
